"d_duration","d_intensity","d_severity","lowest_spei","month_peak","minyear","maxyear","rangeDate","cat"
11,-1.58106560606061,17.3917216666667,-2.02429333333333,3,1913,1914,"Nov - Sep","severe"
11,-1.95669772727273,21.523675,-2.58456,11,1995,1995,"Jan - Nov","severe"
9,-1.82317555555556,16.40858,-2.42694,11,1945,1946,"May - Jan","severe"
9,-1.76442333333333,15.87981,-2.05611166666667,12,1998,1999,"Dec - Aug","severe"
8,-1.48243145833333,11.8594516666667,-1.65409833333333,7,1983,1983,"Feb - Sep","severe"
6,-1.72790611111111,10.3674366666667,-1.90596166666667,8,2012,2012,"Mar - Aug","severe"
5,-1.90532266666667,9.52661333333333,-2.29962666666667,4,1925,1925,"Jan - May","severe"
5,-1.49255433333333,7.46277166666667,-1.53745166666667,6,1985,1985,"May - Sep","severe"
5,-1.38520533333333,6.92602666666667,-1.44390166666667,7,1991,1991,"Apr - Aug","severe"
5,-1.52219366666667,7.61096833333333,-1.57087666666667,6,2005,2005,"May - Sep","severe"
4,-1.36337416666667,5.45349666666667,-1.44067333333333,5,1927,1927,"May - Aug","severe"
4,-1.71362666666667,6.85450666666667,-1.83263666666667,7,1931,1931,"May - Aug","severe"
2,-1.52523583333333,3.05047166666667,-1.6304,9,1953,1953,"Aug - Sep","severe"
