"var","site","n","M.Huber","ci","Letter"
"rc","SJ",40,1.2303,"(1.1329,1.3276)","a"
"rc","caH",30,0.9789,"(0.9103,1.0476)","b"
"rc","caL",30,0.8702,"(0.817,0.9234)","b"
"rt","SJ",40,0.5975,"(0.525,0.67)","a"
"rt","caH",30,0.7987,"(0.7388,0.8586)","b"
"rt","caL",30,0.8891,"(0.8482,0.93)","b"
"rs","SJ",40,0.7361,"(0.6304,0.8418)","a"
"rs","caH",30,0.776,"(0.7335,0.8185)","a"
"rs","caL",30,0.7734,"(0.715,0.8318)","a"
"rrs","SJ",40,0.1313,"(0.0711,0.1915)","a"
"rrs","caH",30,-0.0243,"(-0.0832,0.0346)","ab"
"rrs","caL",30,-0.1136,"(-0.1601,-0.0671)","b"
